BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,None,0.0,None,0.0,60.0,182.5,7226362.5,2003882.0,3946027.0,1276453.0,False,Compliant,249.98
NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,0659000220,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,176.1000061,8387933.0,0.0,3242851.0,5145082.0,False,Compliant,295.86
NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,98101.0,0659000475,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,None,0.0,None,0.0,43.0,241.8999939,72587024.0,0.0,49526664.0,1493800.0,False,Compliant,2089.28
NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,None,0.0,None,0.0,56.0,216.1999969,6794584.0,2214446.25,2768924.0,1811213.0,False,Compliant,286.43
NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,0659000970,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,211.3999939,14172606.0,0.0,5368607.0,8803998.0,False,Compliant,505.01
Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,0660000560,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,None,0.0,None,0.0,89.0,316.2999878,12086616.0,0.0,7371434.0,4715182.0,False,Compliant,301.81
NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,None,0.0,None,0.0,27.0,146.6000061,5758795.0,0.0,2811215.0,2947580.0,False,Compliant,176.14
NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,0660000955,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,None,0.0,None,0.0,89.0,141.6999969,6298131.5,2276286.5,3636655.0,385189.0,False,Compliant,221.51
NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,0939000080,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,None,0.0,None,0.0,43.0,180.8999939,13723820.0,0.0,7297919.0,6425900.0,False,Compliant,392.16
NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,0942000145,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,None,0.0,None,0.0,30.0,228.1999969,16016644.0,5237165.5,6187627.0,4591850.0,False,Compliant,691.26
NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,0942000165,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,None,0.0,None,0.0,36.0,199.0,26941110.0,5999360.5,18083049.0,2858700.0,False,Compliant,740.97
NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,None,0.0,None,0.0,48.0,153.6000061,6596057.5,1656352.5,1343000.0,3596705.0,False,Compliant,328.23
